no,transaction_date,house_age,distance_to_MRT,number_cs,latitude,longitude,house_price
1,01112012,32.00,84.88,10.00,24.98,121.54,379000000
2,01112012,19.50,306.59,9.00,24.98,121.54,422000000
3,01062013,13.30,561.98,5.00,24.99,121.54,473000000
4,01062013,13.30,561.98,5.00,24.99,121.54,548000000
5,01092012,5.00,390.57,5.00,24.98,121.54,431000000
6,01082012,7.10,2175.03,3.00,24.96,121.51,321000000
7,01082012,34.50,623.47,7.00,24.98,121.54,403000000
8,01052013,20.30,287.60,6.00,24.98,121.54,467000000
9,01062013,31.70,5512.04,1.00,24.95,121.48,188000000
10,01052013,17.90,1783.18,3.00,24.97,121.51,221000000
11,01122012,34.80,405.21,1.00,24.97,121.53,414000000
12,01032013,6.30,90.46,9.00,24.97,121.54,581000000
13,01112012,13.00,492.23,5.00,24.97,121.54,393000000
14,01082012,20.40,2469.65,4.00,24.96,121.51,238000000
15,01062013,13.20,1164.84,4.00,24.99,121.53,343000000
16,01062013,35.70,579.21,2.00,24.98,121.55,505000000
17,01032013,0.00,293.00,6.00,24.98,121.54,701000000
18,01092012,17.70,350.85,1.00,24.98,121.53,374000000
19,01052013,16.90,368.14,8.00,24.97,121.54,423000000
20,01082012,1.50,23.38,7.00,24.97,121.54,477000000
21,01052013,4.50,2275.88,3.00,24.96,121.51,293000000
22,01052013,10.50,279.17,7.00,24.98,121.55,516000000
23,01112012,14.70,1360.14,1.00,24.95,121.55,246000000
24,01122012,10.10,279.17,7.00,24.98,121.55,479000000
25,01122012,39.60,480.70,4.00,24.97,121.54,388000000
26,01122012,29.30,1487.87,2.00,24.98,121.52,270000000
27,01082012,3.10,383.86,5.00,24.98,121.54,562000000
28,01032013,10.40,276.45,5.00,24.96,121.54,336000000
29,01062013,19.20,557.48,4.00,24.97,121.54,470000000
30,01122012,7.10,451.24,5.00,24.98,121.55,571000000
31,01062013,25.90,4519.69,0.00,24.95,121.50,221000000
32,01092012,29.60,769.40,7.00,24.98,121.53,250000000
33,01092012,37.90,488.57,1.00,24.97,121.53,342000000
34,01032013,16.50,323.66,6.00,24.98,121.54,493000000
35,01092012,15.40,205.37,7.00,24.98,121.54,551000000
36,01062013,13.90,4079.42,0.00,25.01,121.52,273000000
37,01112012,14.70,1935.01,2.00,24.96,121.51,229000000
38,01022013,12.00,1360.14,1.00,24.95,121.55,253000000
39,01082012,3.10,577.96,6.00,24.97,121.55,477000000
